1700, -0.20, 0.05, 10.09, -38.69, 5.12, -59.19, -0.06, 0.13, -0.06
1800, -0.17, 0.03, 10.09, -39.38, 5.87, -59.19, -0.19, -0.13, 0.06
1900, -0.19, 0.01, 10.12, -37.94, 5.87, -59.19, -0.06, 0.13, 0.06
2000, -0.19, 0.06, 10.08, -39.38, 5.87, -60.38, -0.06, 0.19, 0.13
2100, -0.21, 0.08, 10.08, -36.81, 5.50, -59.19, 0.00, 0.00, 0.13
2200, -0.19, 0.04, 10.08, -40.50, 5.87, -59.56, 0.00, 0.13, 0.13
2300, -0.19, 0.04, 10.13, -38.31, 5.87, -59.94, -0.19, 0.13, 0.13
2400, -0.18, 0.05, 10.11, -36.81, 6.62, -60.75, -0.06, 0.13, 0.06
2500, -0.19, 0.05, 10.10, -38.69, 7.00, -60.00, -0.13, 0.25, 0.00
2600, -0.20, 0.03, 10.07, -38.69, 7.00, -58.44, -0.06, 0.00, 0.13
2700, -0.19, 0.06, 10.08, -37.56, 6.62, -59.19, 0.06, 0.19, 0.13
2800, -0.18, 0.03, 10.10, -37.94, 7.00, -58.00, -0.19, -0.06, 0.13
2900, -0.18, 0.04, 10.10, -37.56, 7.69, -58.06, -0.13, 0.06, 0.13
3000, -0.20, 0.04, 10.11, -37.56, 5.50, -57.63, -0.06, 0.19, 0.00
3100, -0.17, 0.04, 10.12, -38.31, 5.12, -58.81, 0.06, 0.31, 0.06
3200, -0.18, 0.02, 10.09, -37.19, 5.50, -58.00, -0.06, 0.13, 0.13
3300, -0.18, 0.06, 10.08, -37.94, 5.50, -59.19, -0.06, 0.13, 0.13
3400, -0.19, 0.03, 10.13, -38.69, 5.87, -58.81, 0.06, 0.00, 0.06
3500, -0.19, 0.03, 10.12, -37.94, 5.50, -59.19, -0.06, 0.00, 0.13
3600, -0.20, 0.05, 10.09, -37.94, 5.50, -59.63, 0.00, 0.19, 0.06
3700, -0.18, 0.04, 10.05, -37.94, 6.25, -59.19, -0.06, 0.19, 0.06
3800, -0.20, 0.04, 10.12, -38.31, 5.12, -60.38, 0.06, 0.06, 0.06
3900, -0.18, 0.05, 10.10, -38.31, 6.25, -60.38, 0.00, 0.19, 0.13
4000, -0.20, 0.04, 10.06, -36.81, 5.50, -59.19, 0.00, 0.13, 0.06
4100, -0.20, 0.03, 10.09, -38.69, 6.25, -60.00, 0.00, -0.06, 0.00
4200, -0.20, 0.04, 10.06, -38.31, 5.50, -58.81, 0.06, 0.06, 0.06
4300, -0.21, 0.06, 10.05, -39.38, 4.75, -59.19, 0.06, 0.06, 0.06
4400, -0.18, 0.03, 10.01, -39.06, 5.87, -59.63, -0.13, 0.19, 0.00
4500, -0.20, 0.03, 10.08, -36.81, 5.87, -59.19, -0.19, 0.00, 0.00
4600, -0.20, 0.05, 9.98, -37.56, 6.25, -59.19, 0.06, 0.06, 0.06
4700, -0.21, 0.04, 10.02, -39.06, 6.25, -60.00, 0.00, 0.06, 0.06
4800, -0.18, 0.07, 10.06, -39.75, 6.25, -59.19, -0.06, 0.06, 0.00
4900, -0.20, 0.05, 9.98, -38.69, 6.25, -59.19, -0.13, 0.13, 0.13
5000, -0.20, 0.03, 10.03, -40.50, 5.50, -60.38, 0.06, 0.19, 0.06
5100, -0.19, 0.04, 10.02, -37.94, 6.25, -58.44, 0.00, -0.06, 0.00
5200, -0.22, 0.02, 10.03, -38.69, 5.12, -59.19, 0.00, 0.25, 0.06
5300, -0.18, 0.04, 10.00, -39.38, 5.50, -59.19, 0.00, -0.25, 0.13
5400, -0.20, 0.03, 9.99, -38.31, 7.00, -58.81, 0.06, 0.06, 0.06
5500, -0.19, 0.02, 10.00, -38.31, 6.62, -60.38, 0.00, 0.19, 0.00
5600, -0.18, 0.04, 10.02, -38.69, 5.12, -59.56, -0.06, -0.31, 0.13
5700, -0.19, 0.04, 10.01, -37.94, 6.62, -58.81, 0.00, 0.13, 0.00
5800, -0.19, 0.03, 10.02, -38.31, 6.62, -59.19, 0.06, 0.06, 0.19
